Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
高级前端工程师,北京,15-20k,北京东晨联创科技股份有限公司,前端开发,3-5年,大专,网络/信息安全,100-499人,"李女士,HRBP"
web前端工程师,深圳-龙岗区,15-20k·13薪,华为,"javascript,css,css3,vue,jquery,html,webpack",1-3年,本科,通信设备,100-499人,"李先生,项目经理/主管"
web前端工程师,北京-海淀区,15-25k·14薪,用友网络科技股份有限公司,"MVVM,MVC,前端开发,Web开发,Node.js,React,界面开发,Vue,ECMAScript 6,ECMAScript",3-5年,本科,计算机软件,10000人以上,"赵女士,高级研发工程师"
WebGL前端工程师,上海-长宁区,6-10k,上海培谊信息科技有限公司,,经验不限,统招本科,计算机软件,50-99人,"邢女士,人事主管"
前端工程师（真光大楼）,上海-黄浦区,19-21k,明思(上海)软件技术有限公司,"Vue,React,Javascript",5-10年,大专,IT服务,50-99人,"万女士,IT招聘"
web前端工程师,成都,12-24k,华为,,3-5年,本科,通信设备,50-99人,"徐先生,开发"
前端工程师,西安-高新区,10-15k,北京问世技术服务有限公司,"Vue,CSS,HTML,Less,HTML5,Sass,ElementUI,Javascript,React Native,Webpack",3-5年,本科,电子/半导体/集成电路,50-99人,"张女士,HR"
前端工程师,长沙,8-13k·13薪,五维家,"Vue,前端开发,uni-app,HTML5,CSS,Javascript,HTML",5-10年,本科,云计算/大数据,50-99人,"汤女士,副总经理"
前端软件工程师,深圳-南山区,9-14k,中联智科高新技术有限公司,"javascript,css,jquery,html,ajax,angular,java,git,android,svn",1-3年,本科,专业技术服务,1-49人,"万女士,HR"
前端工程师,北京-海淀区,14-18k,北京智蓝云信科技有限公司,"小程序,app,h5",5-10年,本科,计算机软件,1000-2000人,"杨先生,招聘"
web前端工程师,武汉,8-12k·13薪,北京今朝勇创科技有限公司,,3-5年,大专,电子商务,50-99人,"李女士,UI设计+产品经理"
react前端工程师,上海-徐汇区,11-12k,北京信联互动科技有限公司,,3-5年,大专,计算机软件,100-499人,孙先生
前端工程师,景德镇,5-6k,景德镇市国信瓷都市民云信息服务有限公司,,1-3年,本科,互联网,100-499人,"胡先生,综合行政岗"
前端工程师,西安-高新区,14-30k·14薪,华为,"前端开发,Vue,React",3-5年,本科,通信设备,100-499人,"胡先生,软件开发工程师"
web前端工程师,杭州-滨江区,15-30k·24薪,华为云计算技术有限公司,"前端开发,HTML5,CSS,Javascript,HTML,Webpack,界面开发",1-3年,本科,计算机软件,100-499人,"汪先生,招聘专员"
移动web前端工程师,武汉,15-25k,微派网络,,5-10年,本科,互联网,100-499人,"郑兰,人力资源总监"
前端工程师,上海-浦东新区,15-25k·16薪,上海嘉书科技有限公司,,3-5年,本科,在线社交/媒体,100-499人,"陈女士,招聘"
真格被投-前端工程师（好车主互助）,北京-朝阳区,25-35k,真格基金,,3-5年,本科,基金/证券/期货,100-499人,"李女士,人力资源经理"
前端工程师,深圳-南山区,8-12k,东熙(深圳)网络科技有限公司,,1-3年,本科,互联网,100-499人,"杨先生,人力资源总监"
前端工程师,厦门-集美区,7-12k,厦门亿烁网络有限公司,前端,1-3年,本科,计算机软件,100-499人,"张女士,行政"
h5前端工程师,南京,7-9k,南京维瓦数字科技有限公司,,1-3年,大专,互联网,1-49人,"张先生,网页工程师"
前端工程师,新余,4-9k,新余美天科技有限公司,"react,javascript,前端开发,vue",1-3年,本科,计算机软件,1-49人,"李女士,行政助理"
高级前端工程师,大连-甘井子区,12-18k,长沙福宝网络科技有限公司,"javascript,framework",5-10年,大专,1-49人,1-49人,"夏先生,技术总监"
中级前端工程师,大连-甘井子区,8-13k,长沙福宝网络科技有限公司,"react,javascript,前端开发,vue,css,jquery,angular,小程序",3-5年,大专,1-49人,1-49人,"夏先生,技术总监"
前端软件工程师,乌兰察布,8-12k,乌兰察布市集宁区至高信息咨询有限公司,spring,3-5年,本科,专业技术服务,1-49人,"李女士,软件工程师"
前端工程师,深圳-龙岗区,15-30k·15薪,某知名公司,"javascript,css,前端开发,css3,react",经验不限,本科,电子/半导体/集成电路,10000人以上,"刘女士,猎头顾问"
前端软件工程师,广州,30-45k·13薪,某知名五百强银行,"React,后端开发,前端开发,界面开发",10年以上,学历不限,计算机软件,2000-5000人,"汪女士,猎头顾问"
数字前端工程师,武汉,25-45k·14薪,北京泽石科技有限公司,"soc,ASIC,MODULE,数字前端,数字中端",3-5年,硕士,电子/半导体/集成电路,2000-5000人,"田女士,HRBP"
Flutter前端工程师,北京,6-11k·13薪,新智铁,"Flutter,Node.js,React,移动开发,前端开发,后端开发,框架设计,框架开发,ECMAScript,ECMAScript 6",经验不限,统招本科,互联网,1-49人,"武先生,猎头顾问"
前端工程师,西安-高新区,12-30k,华为,"前端开发,Vue,React,Axure,UI设计",3-5年,统招本科,通信设备,1-49人,"王先生,高级软件工程师，高级测试工程师，架构师"
web前端工程师,长沙,15-20k·16薪,三一,"React,前端开发,CSS,TypeScript,HTML5,React Native,Webpack",经验不限,本科,机械/设备,10000人以上,"贺先生,架构师，技术经理"
web前端工程师,澄迈县,18-30k,海南泓尚,"TypeScript,React,界面开发",经验不限,本科,计算机软件,10000人以上,"陈女士,HR"
WEB前端工程师,大连,10-15k,辽宁迈克集团股份有限公司,"Web开发,前端开发,Vue,IT/信息化领域,商业信息化,大数据领域",3-5年,本科,贸易/进出口,10000人以上,"付女士,总裁办副主任"
web前端工程师,北京-海淀区,30-40k·13薪,海南泓尚,"TypeScript,React,界面开发",经验不限,本科,计算机软件,10000人以上,"陈女士,HR"
前端工程师,深圳-龙岗区,18-35k,华为,"前端开发,Vue,React,Javascript,HTML5",3-5年,统招本科,通信设备,10000人以上,"王先生,高级软件工程师，高级测试工程师，架构师"
web前端工程师 前端开发 H5开发,成都-高新区,9-12k,国广互联科技(北京)有限公司,"前端开发,Echarts,D3.js,移动开发,框架开发,框架设计,ECMAScript 6,ECMAScript,Javascript,ES5",3-5年,大专,互联网,1-49人,"黄女士,行政专员"
移动前端工程师,上海-松江区,10-15k,上海链芒科技有限公司,"iOS,Android",3-5年,本科,计算机软件,1-49人,"吴女士,hr"
web前端工程师,沧州-新华区,6-10k,抖推猫网络,"界面开发,前端开发,后端开发,移动开发,uni-app,CSS,HTML5,Javascript,HTML,Webpack",1-3年,大专,互联网,1-49人,"戴女士,HRBP"
前端工程师,沧州-新华区,6-12k,抖推猫网络,"界面开发,前端开发,移动开发,后端开发,uni-app,CSS,HTML5,Javascript,HTML,Webpack",1-3年,大专,互联网,1-49人,丁女士
前端工程师,杭州-滨江区,11-20k·13薪,再造再生健康科技(杭州)有限公司,"前端开发,后端开发,移动开发,CSS,HTML,Javascript",3-5年,本科,生物技术,1-49人,彭女士
高级前端工程师(Web前端),成都-高新区,15-25k·13薪,成都鸿程云科技有限公司,"前端开发,架构设计,React,Vue,框架设计,框架开发,CSS,HTML,ECMAScript 6,ECMAScript",5-10年,本科,IT服务,1-49人,"孙女士,人力主管"
中级前端工程师,洛阳-洛龙区,5-8k·13薪,洛阳嗨团网络科技服务有限公司,"模块开发,功能开发,界面开发,Web开发,移动开发,前端开发,框架开发,框架设计,Less,Sass",3-5年,大专,批发/零售,1-49人,"汤女士,人力资源"
控股集团-高级前端工程师-web前端-风控,杭州,10-20k,阿里巴巴集团,"前端开发,框架开发,框架设计",经验不限,本科,互联网,10000人以上,"陈先生,招聘经理"
web前端工程师,北京-西城区,9-12k,北京明天高软科技有限公司,"前端开发,css3,jquery,angularjs,java,backbone,c#",1-3年,大专,互联网,50-99人,"陈女士,人事专员"
web前端工程师（驻场开发）,南京-雨花台区,13-20k,南京木牛自动化系统有限公司,"Vue,前端开发,CSS,HTML",3-5年,大专,电气机械/器材,50-99人,"韦女士,人事"
web类资深前端工程师/前端架构师/前端TL,深圳-龙岗区,25-40k,某深圳大型通信设备公司,,5-10年,本科,通信设备,10000人以上,"邵女士,猎头顾问"
高级web前端工程师/前端负责人,青岛-城阳区,12-16k·13薪,慧博云通(山东)软件技术有限公司,"框架开发,框架设计,React,Echarts,D3.js,Vue,后端开发,前端开发,Angular,架构设计",5-10年,统招本科,云计算/大数据,1-49人,"刘女士,人力资源经理"
阿里云智能-高级前端工程师/前端技术专家-开源大数据前端技术团队,杭州,10-20k,阿里巴巴集团,,经验不限,硕士,互联网,10000人以上,"陈先生,招聘经理"
