Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
芯片前端工程师,深圳-南山区,40-70k·14薪,某深圳知名公司,"verilog,芯片设计,rtl",3-5年,统招本科,电子/半导体/集成电路,50-99人,"张女士,猎头顾问"
数字前端工程师（以太网/PCIE方向）,上海-闵行区,20-40k·14薪,无锡芯光互连技术研究院,,1-3年,统招本科,电子/半导体/集成电路,50-99人,"许女士,人事主管"
数字前端工程师（DDR方向）,上海-闵行区,20-40k·14薪,无锡芯光互连技术研究院,,1-3年,统招本科,电子/半导体/集成电路,50-99人,"许女士,人事主管"
IP数字前端工程师,上海-浦东新区,30-60k·15薪,上海新基讯通信技术有限公司,,1-3年,硕士,电子/半导体/集成电路,50-99人,蔡女士
高级前端工程师,深圳,20-40k·13薪,某深圳专业技术服务公司,"Web开发,工业自动化,算法/AI编程,TypeScript, SSR,HTML,Javascript,CSS",3-5年,本科,专业技术服务,1-49人,"朱先生,猎头顾问"
数字前端高级工程师(J10547),西安-碑林区,25-50k,芯动科技,,3-5年,本科,电子/半导体/集成电路,1-49人,"李女士,人事行政专员"
前端工程师(线上),北京,8-12k,某西安计算机软件公司,"Web开发,CSS,HTML5,Vue.js,Vue,antv",1-3年,硕士,计算机软件,50-99人,"黄先生,猎头顾问"
本部-前端工程师-英文面试-不加班-核心职位,杭州-滨江区,23-35k·13薪,中电金信,GraphQL,3-5年,统招本科,计算机软件,10000人以上,"李女士,招聘专家"
virtio dma 数字前端工程师,上海-浦东新区,20-50k·16薪,翼华科技,virtio dma 硬件加速 ,3-5年,硕士,电子/半导体/集成电路,10000人以上,"杨先生,pcie子系统manager"
数字前端高级工程师,武汉,30-55k,某武汉电子/半导体/集成电路公司,"verilog,FPGA,ASIC芯片,数字芯片前端,芯片设计",1-3年,本科,电子/半导体/集成电路,10000人以上,"王先生,猎头顾问"
SOC数字前端工程师,上海-浦东新区,30-60k·15薪,珠海新基讯通信技术有限公司,,1-3年,硕士,电子/半导体/集成电路,10000人以上,"朱女士,人事专员"
IP数字前端工程师,上海-浦东新区,30-60k·15薪,珠海新基讯通信技术有限公司,,1-3年,硕士,电子/半导体/集成电路,10000人以上,"朱女士,人事专员"
前端工程师,杭州-滨江区,50-70k,某互联网公司,"Vue,React",3-5年,统招本科,互联网,10000人以上,"曾女士,猎头顾问"
IP数字前端工程师,成都-高新区,薪资面议,成都新基讯,,1-3年,统招本科,电子/半导体/集成电路,10000人以上,"欧女士,HR"
WEB前端工程师,成都-郫都区,12-17k,新超硕科技(北京)有限公司,"前端开发,模块开发,后端开发,框架开发,框架设计,功能开发,MVVM,Web开发,Webpack",3-5年,本科,电气机械/器材,10000人以上,"郭女士,招聘专员/助理"
web前端工程师,石家庄,5-10k,微宝云信息技术开发河北有限公司,前端开发,3-5年,本科,IT服务,1-49人,"董女士,HR"
数字前端高级工程师,武汉,30-55k,某武汉电子/半导体/集成电路公司,"verilog,FPGA,ASIC芯片,数字芯片前端,芯片设计",1-3年,本科,电子/半导体/集成电路,1-49人,"王先生,猎头顾问"
数字前端高级工程师（武汉）(J10327),武汉-江夏区,20-50k,芯动科技,,3-5年,本科,电子/半导体/集成电路,1-49人,"王女士,HR"
数字前端工程师（PCIe方向）,成都-高新区,35-60k,飞腾信息技术有限公司,,5-10年,硕士,电子/半导体/集成电路,1-49人,张女士
前端工程师,哈尔滨-松北区,4-6k,黑龙江威速科技有限公司,"uni-app,Bootstrap,Vue,前端开发,移动开发,功能开发,模块开发,Javascript,CSS,HTML",1-3年,大专,互联网,1-49人,"汤女士,人事行政专员"
高薪+web前端工程师,青岛-市北区,6-8k,青岛薪火数据科技有限公司,"Vue,Angular,React,CSS,Javascript,HTML,HTML5",1-3年,大专,IT服务,1-49人,"刘女士,行政主管"
